Año,Municipio,Subregión,Sexo,Enfermedades Transmisibles,Neoplasias,Enfermedades Sistema Circulatorio,Causas Externas,Todas las demás enfermedades,"Signos, síntomas y afecciones mal definidas",Enfermedades originadas en el periodo perinatal
2020,Sabanas de San Angel,Centro,Total,6.66,14.89,89.44,19.51,33.03,33.67,0
2021,Sabanas de San Angel,Centro,Total,11.78,47.1,70.65,11.78,41.22,29.44,4.17
2018,Sabanas de San Angel,Centro,Hombre,14.48,15.73,118.48,14.48,52.25,8.07,0
2019,Sabanas de San Angel,Centro,Hombre,9.01,44.98,61.75,47.22,33.94,35.11,0
2020,Sabanas de San Angel,Centro,Hombre,0,24.71,80.88,36.81,24.03,44.74,0
2021,Sabanas de San Angel,Centro,Hombre,10.97,54.83,109.66,10.97,43.86,21.93,0
2018,Sabanas de San Angel,Centro,Mujer,18.56,48.29,67.64,8.14,25.4,15.73,0
2019,Sabanas de San Angel,Centro,Mujer,25.49,0,75.04,9.25,86.75,9.25,0
2020,Sabanas de San Angel,Centro,Mujer,14.45,0,94.34,0,46.1,18.89,0
2021,Sabanas de San Angel,Centro,Mujer,12.71,38.14,25.43,12.71,38.14,38.14,8
2018,Salamina,Río,Total,10.56,106.18,207.06,0,119.38,0,0
2019,Salamina,Río,Total,23.59,39.93,192.28,9.34,68.94,0,0
2020,Salamina,Río,Total,9.36,23.37,107.08,5.34,113.51,0,0
2021,Salamina,Río,Total,69.76,52.32,183.12,17.44,122.08,8.72,7.35
2018,Salamina,Río,Hombre,21.27,70.12,203.83,0,45.29,0,0
2019,Salamina,Río,Hombre,45.49,34.92,241.07,18.75,85.98,0,0
2020,Salamina,Río,Hombre,17.94,15.67,112.9,0,92.17,0,0
2021,Salamina,Río,Hombre,103.72,34.57,155.57,34.57,190.15,0,15.15
2018,Salamina,Río,Mujer,0,142.96,209.19,0,197.92,0,0
2019,Salamina,Río,Mujer,0,47.3,153.31,0,49.14,0,0
2020,Salamina,Río,Mujer,0,35.95,99.43,11.98,142.17,0,0
